,shortcode,post_type,username,like,comment,object_1,object_2,object_3,object_4,object_5,object_6,object,id,category_name,follower,following,ar_effect,type_business,type_professional,verified,reel_count,reel_avg_view,reel_avg_comment,reel_avg_like,reel_avg_duration,reel_frequency,media_count,media_avg_comment,media_avg_like,media_frequency
0,CrRK-JgA-tD,GraphSidecar,instagram,363269,6844,No Object,No Object,No Object,No Object,No Object,No Object,palace,25025320,Digital creator,634637979,59,True,False,True,True,1256,9406907.25,13544.5,634500.6667,92.46633333,18.55488748,7393,8635.166667,410027.25,1.090776538
1,CrJYehaAhbh,GraphSidecar,instagram,546578,11354,No Object,No Object,No Object,No Object,No Object,No Object,"bikini, two-piece",25025320,Digital creator,634637979,59,True,False,True,True,1256,9406907.25,13544.5,634500.6667,92.46633333,18.55488748,7393,8635.166667,410027.25,1.090776538
2,Cq3I9ulJE6b,GraphImage,instagram,734124,11937,No Object,No Object,No Object,No Object,No Object,No Object,"balance_beam, beam",25025320,Digital creator,634637979,59,True,False,True,True,1256,9406907.25,13544.5,634500.6667,92.46633333,18.55488748,7393,8635.166667,410027.25,1.090776538
3,CrUE3a6tRs4,GraphSidecar,cristiano,7720568,42249,2 people,people playing football,people playing soccer,ball,No Object,No Object,basketball,173560420,Athlete,578782007,557,True,False,True,True,387,18249237.58,28318.83333,3607849.917,32.61633333,17.03613021,3475,52543.16667,7980593.083,2.203446097
4,CrK_zvLAofv,GraphImage,cristiano,14451079,103278,1 person,baby,No Object,No Object,No Object,No Object,"crib, cot",173560420,Athlete,578782007,557,True,False,True,True,387,18249237.58,28318.83333,3607849.917,32.61633333,17.03613021,3475,52543.16667,7980593.083,2.203446097
5,CrGMggNq1Cb,GraphSidecar,cristiano,9705257,48990,1 person,playing football,playing soccer,ball,stadium,No Object,basketball,173560420,Athlete,578782007,557,True,False,True,True,387,18249237.58,28318.83333,3607849.917,32.61633333,17.03613021,3475,52543.16667,7980593.083,2.203446097
6,CrEHoMbK0_C,GraphImage,cristiano,8006265,45701,1 person,standing,phone,wrist watch,screen,tablet,snorkel,173560420,Athlete,578782007,557,True,False,True,True,387,18249237.58,28318.83333,3607849.917,32.61633333,17.03613021,3475,52543.16667,7980593.083,2.203446097
7,Cq8QZGDIix1,GraphImage,cristiano,6771138,48148,2 people,people golfing,golf course,text,No Object,No Object,"web_site, website, internet_site, site",173560420,Athlete,578782007,557,True,False,True,True,387,18249237.58,28318.83333,3607849.917,32.61633333,17.03613021,3475,52543.16667,7980593.083,2.203446097
8,CqoZ8pRo91y,GraphSidecar,cristiano,12950245,94281,1 person,playing football,playing soccer,ball,stadium,No Object,soccer_ball,173560420,Athlete,578782007,557,True,False,True,True,387,18249237.58,28318.83333,3607849.917,32.61633333,17.03613021,3475,52543.16667,7980593.083,2.203446097
9,CqjQjCII98k,GraphSidecar,cristiano,7526703,45901,2 people,people playing football,people playing soccer,text,No Object,No Object,rugby_ball,173560420,Athlete,578782007,557,True,False,True,True,387,18249237.58,28318.83333,3607849.917,32.61633333,17.03613021,3475,52543.16667,7980593.083,2.203446097
10,CqeFZMFotaH,GraphSidecar,cristiano,12188336,69223,1 person,playing football,playing soccer,cake,pie,No Object,soccer_ball,173560420,Athlete,578782007,557,True,False,True,True,387,18249237.58,28318.83333,3607849.917,32.61633333,17.03613021,3475,52543.16667,7980593.083,2.203446097
11,Cra8IRetvaD,GraphImage,leomessi,5836716,39458,1 person,playing football,playing soccer,cleats,No Object,No Object,Loafer,427553890,Athlete,457406606,292,False,True,True,True,163,10901379.58,12207.16667,1867137.833,59.27466667,20.5237586,1026,48772.83333,8066776.833,2.714165838
12,CrX_ap2ND34,GraphSidecar,leomessi,10436285,73436,1 person,playing soccer,,No Object,No Object,No Object,"tobacco_shop, tobacconist_shop, tobacconist",427553890,Athlete,457406606,292,False,True,True,True,163,10901379.58,12207.16667,1867137.833,59.27466667,20.5237586,1026,48772.83333,8066776.833,2.714165838
13,CrUHRtzNU1v,GraphSidecar,leomessi,7255017,28839,3 people,people playing football,people playing soccer,stadium,text,No Object,soccer_ball,427553890,Athlete,457406606,292,False,True,True,True,163,10901379.58,12207.16667,1867137.833,59.27466667,20.5237586,1026,48772.83333,8066776.833,2.714165838
14,CrG1zcBNFQj,GraphSidecar,leomessi,9592735,44614,1 person,playing football,playing soccer,stadium,text,No Object,"ballplayer, baseball_player",427553890,Athlete,457406606,292,False,True,True,True,163,10901379.58,12207.16667,1867137.833,59.27466667,20.5237586,1026,48772.83333,8066776.833,2.714165838
15,CqylP2gNluK,GraphSidecar,leomessi,10072927,74156,2 people,people playing football,people playing soccer,stadium,text,No Object,"ballplayer, baseball_player",427553890,Athlete,457406606,292,False,True,True,True,163,10901379.58,12207.16667,1867137.833,59.27466667,20.5237586,1026,48772.83333,8066776.833,2.714165838
16,CqWzeG3Nr4l,GraphSidecar,leomessi,13211614,80603,8 people,people playing football,people playing soccer,stadium,No Object,No Object,basketball,427553890,Athlete,457406606,292,False,True,True,True,163,10901379.58,12207.16667,1867137.833,59.27466667,20.5237586,1026,48772.83333,8066776.833,2.714165838
17,CqT54JdrbzD,GraphSidecar,leomessi,14769905,77375,2 people,people playing football,people playing soccer,No Object,No Object,No Object,"maze, labyrinth",427553890,Athlete,457406606,292,False,True,True,True,163,10901379.58,12207.16667,1867137.833,59.27466667,20.5237586,1026,48772.83333,8066776.833,2.714165838
18,CqOECn_LXQ8,GraphSidecar,leomessi,10748681,58752,1 person,playing football,playing soccer,text,No Object,No Object,"web_site, website, internet_site, site",427553890,Athlete,457406606,292,False,True,True,True,163,10901379.58,12207.16667,1867137.833,59.27466667,20.5237586,1026,48772.83333,8066776.833,2.714165838
19,CrRGHjjLvYl,GraphImage,selenagomez,6745009,24048,2 people,dinner jacket,No Object,No Object,No Object,No Object,"suit, suit_of_clothes",460563723,Musician/band,412696308,251,True,False,True,True,261,10374819.42,12646.25,1590331.667,68.10241667,20.82594717,1890,112153.1667,14481840.17,4.458361854
20,CrCpfpVt3Zq,GraphImage,selenagomez,13821466,110465,1 person,lipstick,makeup,No Object,No Object,No Object,"pajama, pyjama, pj's, jammies",460563723,Musician/band,412696308,251,True,False,True,True,261,10374819.42,12646.25,1590331.667,68.10241667,20.82594717,1890,112153.1667,14481840.17,4.458361854
21,CqjAyPyOC_r,GraphSidecar,selenagomez,12207886,42567,2 people,crowd,concert,No Object,No Object,No Object,toilet_seat,460563723,Musician/band,412696308,251,True,False,True,True,261,10374819.42,12646.25,1590331.667,68.10241667,20.82594717,1890,112153.1667,14481840.17,4.458361854
22,Cqafk-jj5HV,GraphImage,selenagomez,9144218,63075,1 person,hair,eyeliner,makeup,lipstick,No Object,fur_coat,460563723,Musician/band,412696308,251,True,False,True,True,261,10374819.42,12646.25,1590331.667,68.10241667,20.82594717,1890,112153.1667,14481840.17,4.458361854
23,CqSxXsdu4I7,GraphSidecar,selenagomez,10935060,45979,1 person,makeup,lipstick,eyeliner,text,No Object,"lipstick, lip_rouge",460563723,Musician/band,412696308,251,True,False,True,True,261,10374819.42,12646.25,1590331.667,68.10241667,20.82594717,1890,112153.1667,14481840.17,4.458361854
24,CqQfTxiOMMF,GraphImage,selenagomez,22440330,186031,4 people,makeup,bra,No Object,No Object,No Object,altar,460563723,Musician/band,412696308,251,True,False,True,True,261,10374819.42,12646.25,1590331.667,68.10241667,20.82594717,1890,112153.1667,14481840.17,4.458361854
25,CqENlgtuTNe,GraphSidecar,selenagomez,15162262,92021,3 people,gown,dress,wedding,No Object,No Object,gown,460563723,Musician/band,412696308,251,True,False,True,True,261,10374819.42,12646.25,1590331.667,68.10241667,20.82594717,1890,112153.1667,14481840.17,4.458361854
26,Cp-XrldOSS0,GraphSidecar,selenagomez,17997865,186279,3 people,crowd,concert,text,No Object,No Object,comic_book,460563723,Musician/band,412696308,251,True,False,True,True,261,10374819.42,12646.25,1590331.667,68.10241667,20.82594717,1890,112153.1667,14481840.17,4.458361854
27,Cpv2SBMrAGY,GraphSidecar,selenagomez,25836402,355831,1 person,hair,No Object,No Object,No Object,No Object,"brassiere, bra, bandeau",460563723,Musician/band,412696308,251,True,False,True,True,261,10374819.42,12646.25,1590331.667,68.10241667,20.82594717,1890,112153.1667,14481840.17,4.458361854
28,CpiqBfkONWp,GraphImage,selenagomez,17958638,127818,1 person,child,bangs,smiling,No Object,No Object,"jersey, T-shirt, tee_shirt",460563723,Musician/band,412696308,251,True,False,True,True,261,10374819.42,12646.25,1590331.667,68.10241667,20.82594717,1890,112153.1667,14481840.17,4.458361854
